year,lga_name,a_crime_vs_person,b_property_deception,c_drug_offence,d_public_order_security,e_justice_offence,f_other_offence,region_name,offence_total
2019,Alpine,114,161,26.0,48,50,0,2 Eastern,399.0
2019,Ararat,223,376,65.0,81,165,2,4 Western,912.0
2019,Ballarat,1372,5061,204.0,372,1105,15,4 Western,8129.0
2019,Banyule,957,4063,223.0,309,1442,11,1 North West Metro,7005.0
2019,Bass Coast,376,992,78.0,119,216,2,2 Eastern,1783.0
2019,Baw Baw,618,1761,165.0,182,446,8,2 Eastern,3180.0
2019,Bayside,452,2508,129.0,180,331,6,3 Southern Metro,3606.0
2019,Benalla,192,433,50.0,57,141,5,2 Eastern,878.0
2019,Boroondara,558,4292,177.0,137,396,11,2 Eastern,5571.0
2019,Brimbank,2441,8761,562.0,686,2196,15,1 North West Metro,14661.0
2019,Buloke,40,109,32.0,12,19,2,4 Western,214.0
2019,Campaspe,456,1643,109.0,141,568,3,4 Western,2920.0
2019,Cardinia,841,2788,178.0,246,632,12,3 Southern Metro,4697.0
2019,Casey,3231,9775,781.0,655,1766,9,3 Southern Metro,16217.0
2019,Central Goldfields,233,354,70.0,63,192,5,4 Western,917.0
2019,Colac-Otway,323,652,52.0,95,196,2,4 Western,1320.0
2019,Corangamite,106,256,23.0,31,71,0,4 Western,487.0
2019,Darebin,1387,8093,275.0,461,1019,9,1 North West Metro,11244.0
2019,East Gippsland,865,1272,159.0,281,603,13,2 Eastern,3193.0
2019,Frankston,1770,6026,496.0,779,2079,7,3 Southern Metro,11157.0
2019,Gannawarra,120,287,20.0,55,98,1,4 Western,581.0
2019,Glen Eira,626,3463,166.0,275,352,10,3 Southern Metro,4892.0
2019,Glenelg,180,440,90.0,74,171,2,4 Western,957.0
2019,Golden Plains,94,350,21.0,8,37,1,4 Western,511.0
2019,Greater Bendigo,1391,4346,262.0,603,1477,12,4 Western,8091.0
2019,Greater Dandenong,2323,8167,735.0,1083,1866,21,3 Southern Metro,14195.0
2019,Greater Geelong,2603,9762,517.0,982,1875,38,4 Western,15777.0
2019,Greater Shepparton,1084,3254,318.0,505,1054,13,2 Eastern,6228.0
2019,Hepburn,117,406,17.0,14,64,2,4 Western,620.0
2019,Hindmarsh,68,100,24.0,26,30,1,4 Western,249.0
2019,Hobsons Bay,833,2864,220.0,344,563,25,1 North West Metro,4849.0
2019,Horsham,365,547,101.0,130,288,5,4 Western,1436.0
2019,Hume,2618,9240,725.0,676,2303,29,1 North West Metro,15591.0
2019,Indigo,79,202,15.0,27,46,2,2 Eastern,371.0
2019,Kingston,1178,5528,314.0,488,1070,30,3 Southern Metro,8608.0
2019,Knox,1208,4957,540.0,429,947,9,2 Eastern,8090.0
2019,Latrobe,2064,4973,319.0,688,1884,14,2 Eastern,9942.0
2019,Loddon,71,218,12.0,19,66,0,4 Western,386.0
2019,Macedon Ranges,276,1108,50.0,76,266,6,4 Western,1782.0
2019,Manningham,508,2405,133.0,103,255,6,2 Eastern,3410.0
2019,Mansfield,62,156,9.0,45,44,6,2 Eastern,322.0
2019,Maribyrnong,888,4605,200.0,388,579,10,1 North West Metro,6670.0
2019,Maroondah,863,3345,229.0,410,1179,8,2 Eastern,6034.0
2019,Melbourne,3807,14656,1535.0,3650,2857,82,1 North West Metro,26587.0
2019,Melton,1528,5188,259.0,330,1013,12,1 North West Metro,8330.0
2019,Mildura,1122,2599,298.0,506,949,18,4 Western,5492.0
2019,Mitchell,688,1478,155.0,216,491,6,2 Eastern,3034.0
2019,Moira,304,1011,56.0,76,233,3,2 Eastern,1683.0
2019,Monash,1138,5616,289.0,311,666,10,2 Eastern,8030.0
2019,Moonee Valley,851,4419,222.0,398,584,12,1 North West Metro,6486.0
2019,Moorabool,297,988,51.0,54,241,2,4 Western,1633.0
2019,Moreland,1632,7911,313.0,461,1062,28,1 North West Metro,11407.0
2019,Mornington Peninsula,1203,4721,362.0,689,1159,27,3 Southern Metro,8161.0
2019,Mount Alexander,142,382,38.0,59,128,3,4 Western,752.0
2019,Moyne,136,213,20.0,29,59,1,4 Western,458.0
2019,Murrindindi,151,280,58.0,41,59,5,2 Eastern,594.0
2019,Nillumbik,255,1065,70.0,63,167,3,1 North West Metro,1623.0
2019,Northern Grampians,208,313,66.0,46,128,2,4 Western,763.0
2019,Port Phillip,1359,6406,416.0,654,788,27,3 Southern Metro,9650.0
