"year","region_name","count"
2019,"Unincorporated Vic",1
2019,"Justice Institutions and Immigration Facilities",1
2019,"4 Western",30
2019,"3 Southern Metro",10
2019,"2 Eastern",25
2019,"1 North West Metro",14
2020,"Unincorporated Vic",1
2020,"Justice Institutions and Immigration Facilities",1
2020,"4 Western",30
2020,"3 Southern Metro",10
2020,"2 Eastern",25
2020,"1 North West Metro",14
2021,"Unincorporated Vic",1
2021,"Justice Institutions and Immigration Facilities",1
2021,"4 Western",30
2021,"3 Southern Metro",10
2021,"2 Eastern",25
2021,"1 North West Metro",14
2022,"Unincorporated Vic",1
2022,"Justice Institutions and Immigration Facilities",1
2022,"4 Western",30
2022,"3 Southern Metro",10
2022,"2 Eastern",25
2022,"1 North West Metro",14
